start_time,end_time,alternatives,type
0.94,1.15,"[{'confidence': '0.9972', 'content': 'Now'}]",pronunciation
1.15,1.31,"[{'confidence': '0.9552', 'content': ""it's""}]",pronunciation
1.31,1.84,"[{'confidence': '1.0', 'content': 'identical'}]",pronunciation
1.84,2.56,"[{'confidence': '1.0', 'content': 'settings'}]",pronunciation
3.14,3.39,"[{'confidence': '1.0', 'content': 'with'}]",pronunciation
3.4,3.72,"[{'confidence': '1.0', 'content': 'only'}]",pronunciation
3.72,3.83,"[{'confidence': '1.0', 'content': 'the'}]",pronunciation
3.83,4.2,"[{'confidence': '0.9952', 'content': 'auto'}]",pronunciation
4.2,4.58,"[{'confidence': '0.9953', 'content': 'level'}]",pronunciation
4.59,4.94,"[{'confidence': '1.0', 'content': 'turned'}]",pronunciation
4.94,5.36,"[{'confidence': '1.0', 'content': 'on'}]",pronunciation
,,"[{'confidence': '0.0', 'content': ','}]",punctuation
6.24,6.61,"[{'confidence': '1.0', 'content': 'so'}]",pronunciation
6.61,6.72,"[{'confidence': '1.0', 'content': 'the'}]",pronunciation
6.72,6.96,"[{'confidence': '0.9979', 'content': 'user'}]",pronunciation
6.96,7.1,"[{'confidence': '1.0', 'content': 'would'}]",pronunciation
7.1,7.41,"[{'confidence': '1.0', 'content': 'not'}]",pronunciation
7.61,7.92,"[{'confidence': '1.0', 'content': 'need'}]",pronunciation
7.92,8.05,"[{'confidence': '1.0', 'content': 'to'}]",pronunciation
8.05,8.34,"[{'confidence': '1.0', 'content': 'worry'}]",pronunciation
8.34,8.6,"[{'confidence': '0.9902', 'content': 'about'}]",pronunciation
8.61,8.85,"[{'confidence': '0.6168', 'content': 'the'}]",pronunciation
9.24,9.69,"[{'confidence': '0.7601', 'content': 'manual'}]",pronunciation
9.69,10.0,"[{'confidence': '0.5732', 'content': 'gain'}]",pronunciation
10.0,10.46,"[{'confidence': '0.9996', 'content': 'setting'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
10.94,11.51,"[{'confidence': '1.0', 'content': 'Otherwise'}]",pronunciation
,,"[{'confidence': '0.0', 'content': ','}]",punctuation
11.51,11.68,"[{'confidence': '1.0', 'content': 'it'}]",pronunciation
11.69,12.23,"[{'confidence': '1.0', 'content': 'continues'}]",pronunciation
12.23,12.32,"[{'confidence': '1.0', 'content': 'to'}]",pronunciation
12.32,12.65,"[{'confidence': '0.9992', 'content': 'be'}]",pronunciation
13.43,13.54,"[{'confidence': '0.6078', 'content': 'an'}]",pronunciation
13.54,13.96,"[{'confidence': '1.0', 'content': 'extremely'}]",pronunciation
13.96,14.21,"[{'confidence': '1.0', 'content': 'windy'}]",pronunciation
14.21,14.56,"[{'confidence': '1.0', 'content': 'day'}]",pronunciation
16.54,16.96,"[{'confidence': '0.9904', 'content': 'beginning'}]",pronunciation
16.96,17.39,"[{'confidence': '0.5973', 'content': 'peddling'}]",pronunciation
17.39,17.86,"[{'confidence': '0.9999', 'content': 'now'}]",pronunciation
20.64,20.88,"[{'confidence': '0.892', 'content': 'going'}]",pronunciation
20.89,21.17,"[{'confidence': '1.0', 'content': 'down'}]",pronunciation
21.17,21.26,"[{'confidence': '0.8436', 'content': 'the'}]",pronunciation
21.26,22.16,"[{'confidence': '0.9983', 'content': 'driveway'}]",pronunciation
22.54,22.85,"[{'confidence': '0.9911', 'content': 'to'}]",pronunciation
22.85,23.14,"[{'confidence': '1.0', 'content': 'enter'}]",pronunciation
23.14,23.26,"[{'confidence': '1.0', 'content': 'the'}]",pronunciation
23.26,23.65,"[{'confidence': '0.9834', 'content': 'road'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
33.54,34.13,"[{'confidence': '1.0', 'content': 'Head'}]",pronunciation
34.13,34.67,"[{'confidence': '0.9677', 'content': 'check'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
34.96,35.28,"[{'confidence': '0.762', 'content': 'Turn'}]",pronunciation
35.28,35.87,"[{'confidence': '0.9746', 'content': 'right'}]",pronunciation
35.88,36.23,"[{'confidence': '1.0', 'content': 'down'}]",pronunciation
36.23,36.48,"[{'confidence': '0.9456', 'content': 'a'}]",pronunciation
36.49,36.95,"[{'confidence': '1.0', 'content': 'side'}]",pronunciation
36.95,37.35,"[{'confidence': '0.9931', 'content': 'street'}]",pronunciation
51.64,51.91,"[{'confidence': '0.9627', 'content': 'car'}]",pronunciation
51.91,52.1,"[{'confidence': '0.9995', 'content': 'ahead'}]",pronunciation
52.1,52.21,"[{'confidence': '1.0', 'content': 'of'}]",pronunciation
52.21,52.42,"[{'confidence': '1.0', 'content': 'me'}]",pronunciation
52.42,52.57,"[{'confidence': '1.0', 'content': 'is'}]",pronunciation
52.57,52.9,"[{'confidence': '1.0', 'content': 'doing'}]",pronunciation
52.91,52.94,"[{'confidence': '0.4233', 'content': 'a'}]",pronunciation
52.95,53.2,"[{'confidence': '1.0', 'content': 'three'}]",pronunciation
53.2,53.49,"[{'confidence': '1.0', 'content': 'point'}]",pronunciation
53.49,54.06,"[{'confidence': '0.6926', 'content': 'turn'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
64.34,64.68,"[{'confidence': '0.8859', 'content': ""Haven't""}]",pronunciation
64.68,65.25,"[{'confidence': '1.0', 'content': 'encountered'}]",pronunciation
65.25,65.31,"[{'confidence': '1.0', 'content': 'a'}]",pronunciation
65.31,65.98,"[{'confidence': '1.0', 'content': 'significant'}]",pronunciation
65.98,66.26,"[{'confidence': '0.9352', 'content': 'gust'}]",pronunciation
66.26,66.38,"[{'confidence': '1.0', 'content': 'of'}]",pronunciation
66.38,66.86,"[{'confidence': '0.9999', 'content': 'wind'}]",pronunciation
67.74,67.97,"[{'confidence': '1.0', 'content': 'that'}]",pronunciation
67.97,68.32,"[{'confidence': '1.0', 'content': 'occurred'}]",pronunciation
68.32,68.4,"[{'confidence': '1.0', 'content': 'in'}]",pronunciation
68.4,68.49,"[{'confidence': '1.0', 'content': 'the'}]",pronunciation
68.5,68.88,"[{'confidence': '1.0', 'content': 'previous'}]",pronunciation
68.88,69.45,"[{'confidence': '1.0', 'content': 'recording'}]",pronunciation
69.45,69.6,"[{'confidence': '1.0', 'content': 'as'}]",pronunciation
69.6,69.7,"[{'confidence': '1.0', 'content': 'of'}]",pronunciation
69.7,69.96,"[{'confidence': '1.0', 'content': 'yet'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
71.64,71.85,"[{'confidence': '0.4767', 'content': 'Mm'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
84.64,84.91,"[{'confidence': '0.5278', 'content': 'Turning'}]",pronunciation
84.91,85.26,"[{'confidence': '0.9899', 'content': 'left'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
